Customer_ID,Customer_Name,Gender,DOB,City
1001,Jane Smith,Male,1980-09-12,Phoenix
1002,Michael Johnson,Male,1972-03-18,New York
1003,John Doe,Male,1992-12-09,Houston
1004,Chris Lee,Male,1983-03-21,Houston
1005,Chris Lee,Female,1982-05-22,Chicago
1006,Michael Johnson,Male,1996-01-04,New York
1007,Jane Smith,Female,1976-04-03,Los Angeles
1008,John Doe,Female,1984-07-19,Chicago
1009,Jane Smith,Male,1972-01-28,Houston
1010,Jane Smith,Male,1983-05-20,New York
1011,John Doe,Female,1980-07-21,Phoenix
1012,John Doe,Female,1998-06-21,Los Angeles
1013,Chris Lee,Male,1979-09-29,Houston
1014,Chris Lee,Male,1996-10-03,Chicago
1015,John Doe,Male,1972-08-19,New York
1016,Emily Davis,Female,1980-07-14,Los Angeles
1017,Chris Lee,Female,1988-06-01,New York
1018,Emily Davis,Male,1979-10-16,Phoenix
1019,John Doe,Female,1994-10-29,Chicago
1020,Chris Lee,Female,1976-08-15,New York
1021,Jane Smith,Male,1981-06-30,Houston
1022,John Doe,Male,1972-09-28,Chicago
1023,Michael Johnson,Female,1984-05-11,Houston
1024,Emily Davis,Female,1989-06-29,New York
1025,John Doe,Male,1981-02-18,Chicago
1026,John Doe,Male,1977-10-16,Houston
1027,Chris Lee,Male,1996-06-26,Phoenix
1028,Chris Lee,Male,1994-03-25,Phoenix
1029,Chris Lee,Male,1984-07-22,New York
1030,Michael Johnson,Female,2000-01-16,Chicago
1031,Chris Lee,Female,1971-02-27,Los Angeles
1032,John Doe,Female,1988-05-21,Chicago
1033,Chris Lee,Female,1981-09-06,Phoenix
1034,Jane Smith,Male,1990-09-02,Houston
1035,Chris Lee,Male,1987-04-18,Los Angeles
1036,Michael Johnson,Male,1977-06-03,New York
1037,Jane Smith,Female,1993-09-01,Los Angeles
1038,John Doe,Female,1998-12-29,New York
1039,John Doe,Female,1992-02-04,Los Angeles
1040,Emily Davis,Male,1997-11-02,New York
1041,Jane Smith,Female,1974-07-16,New York
1042,Emily Davis,Male,1976-12-16,Los Angeles
